SMILES,Name,Cluster,Center
Cn1ncc(C#N)c1-c1cccc(-n2cnnn2)c1,AB170_985764_990382,1,No
Cc1cc(CNCCc2cn(C)nn2)nn1C,AB160_815823_820838_324662,48,No
Cc1noc2ncc(C=NNc3nnc(C)n3C)cc12,AB3_1481483_1484525,23,No
Cn1nnnc1-c1ccc(NCc2ccnc(Br)c2)cc1,AB72_239681_242002,32,No
Cn1nnnc1-c1ccc(NCc2cccnc2Cl)cc1,AB72_239681_240794,32,No
Cn1nnnc1-c1ccc(NCc2ccccc2)cc1,AB72_239681_240258,32,Yes
Clc1cccc(-c2cccc(-n3cnnn3)c2)c1,AB170_985764_989327,1,No
Cn1nnnc1CCCNC(=O)c1ccon1,AB84_1610390_1614238,5,No
Cn1cnc(-c2ccc3nnn(C)c3c2)n1,AB170_985366_986234,31,Yes
Cc1nncn1N=Cc1csc(-c2cnn(C)c2)n1,AB1_1471686_1474905,8,No
CSc1ccc(CNc2cn(C)nn2)cc1,AB72_239599_240307,2,No
Cc1ccc(-c2cccc(-n3cnnn3)c2)cc1Cl,AB170_985764_992036,1,No
Cn1nnnc1-c1ccc(NC(=O)Cc2cccc(N)c2)cc1,AB131_602473_607984,32,No
Cn1nnc2ccc(-c3cncc(-n4cccn4)c3)cc21,AB170_985366_987371,31,No
Cc1cc(CNc2cn(C)nn2)cnc1Cl,AB72_239599_241021,2,No
Cc1cc(Cl)cc(CNc2cn(C)nn2)c1,AB72_239599_241350,2,Yes
Cn1nnnc1-c1ccc(NC(=O)c2cncc(CN)c2)cc1,AB131_602473_608227,32,No
Cc1cc(C=NNc2ccc(-n3cccn3)nn2)nn1C,AB1_1471261_1474630,35,Yes
Cc1cc(CCC(=O)NCc2nnnn2C)nn1C,AB83_1596784_1605885,5,No
c1cc(NCc2cncnc2)cc(-n2cnnn2)c1,AB146_798492_806707,24,No
Cc1nnnn1-c1ccc(C(=O)Nc2cccc(I)c2)cc1,AB39_270051_285500_925056,9,Yes
Oc1cc(-c2cccc(-n3cnnn3)c2)ncc1F,AB170_985764_988386,1,No
Cc1nc(CNc2cnn(C)c2)cs1,AB72_238962_240550,13,No
O=C(Nc1ccc(-n2cnnn2)cc1)c1ccc(Br)cc1Cl,AB13_18274_25379,42,No
Cn1cc(C(=O)C=Cc2cnnn2C)cn1,AB4_1696316_1697642,21,No
Cn1nnnc1-c1ccc(NC(=O)C(N)Cc2ccccc2)cc1,AB131_602473_607831,32,No
Cn1cnnc1CNC(=O)c1cn(-c2ccccc2)nn1,AB30_357858_374230,5,No
Cn1cc(C(=O)Nc2cc(-c3ccccc3)nn2C)nn1,AB39_275501_284629_1182630,43,No
Clc1cccc(-c2cccc(-n3cnnn3)c2)c1Cl,AB170_985764_987444,1,No
Cc1noc2ncc(C=NNc3ccc(C#N)cn3)cc12,AB3_1481489_1484525,23,No
c1ccc2nc(CCNc3ccc4nnnn4n3)ccc2c1,AB42_774194_780050,7,No
Cc1cc(CNC(=O)c2cn(-c3ccccc3)nn2)ccc1Br,AB30_363526_374230,5,No
Cc1nc(CNCc2cn(C)nn2)cs1,AB71_233908_236749,22,No
Cn1cnc2cc(-c3cncc(-n4cccn4)c3)ccc21,AB170_985548_987371,25,No
NC1(c2ccc(-c3cccc(-n4cnnn4)c3)cc2F)CCC1,AB170_985764_989372,1,No
Clc1ccc(CNc2ccc(-n3ccnn3)cc2)cc1Br,AB146_799027_807069,0,No
Cn1nnnc1-c1ccc(NCc2c(F)ccc(Br)c2F)cc1,AB72_239681_241280,32,No
Cc1cc(CNCc2nncn2C)nn1C,AB71_231173_237661,48,Yes
CCc1nncn1N=Cc1cc(Br)ccc1Br,AB1_1471692_1475190,8,No
Cn1nnc2ccc(-c3ccc(-n4cccn4)cc3)cc21,AB170_985366_986425,31,No
Clc1ccc(-c2cc(CNc3nnnn3-c3ccccc3)on2)cc1,AB42_777457_779904,7,No
Cn1ncnc1NC(=O)Cc1ccon1,AB12_4219_11822,13,No
O=C(Nc1ccc(-n2cnnn2)cc1)c1csc2c(Cl)cccc12,AB13_18274_32475,42,No
CCc1nncn1N=Cc1ccc(C)cc1C,AB1_1471692_1471933,8,No
Cc1nc(C=Nn2cnnc2C)oc1C,AB1_1471686_1475419,8,No
Clc1cc(Br)c2oc(CNCc3nnnn3-c3ccc(Br)cc3)cc2c1,AB71_236008_238736,37,No
Cc1c(CNCCc2nnnn2-c2ccccc2)ccc2ccccc12,AB146_802250_808964,37,No
Cc1ccn2c(C=Nn3cnnc3C)cnc2c1,AB1_1471686_1473174,8,No
Cc1cc(-c2ccc(F)cc2)ccc1-n1cnnn1,AB170_985281_990334,1,No
COC(=O)c1cc(Cn2ccnn2)nn1C,AB7_1720883_1724917,30,No
Cc1ccc(C)c(C(=O)Nc2ccc(-n3cnnn3)cc2)c1,AB13_18274_22826,42,No
Cc1nc(CC(=O)NCc2nnnn2C)cs1,AB30_369646_371901,5,No
Cn1cc(-c2ccc(NCc3cccc4c3nnn4C)nn2)cn1,AB163_916345_918522,14,No
Cn1nnnc1-c1ccc(NC(=O)CC(O)CN)cc1,AB131_602473_608066,32,No
Clc1ccc(-c2cc(CNc3ccc4nnnn4n3)on2)cc1,AB42_777457_780050,48,No
Cn1cc(CCNCc2cc3cnccc3o2)nn1,AB160_815823_820903_578239,22,No
Nc1ncnn1-c1ccc(-c2ccc3c(c2)CCO3)cc1,AB170_985287_989975,7,No
CSc1ccc(CNc2nncn2C)cc1,AB72_239594_240307,48,No
Cc1nnc(SCc2cccc(O)c2)[nH]1,AB15_1807626_1811492_1658400,7,No
Cc1cc(NC(=O)c2cn(C3CC3)nn2)nc2ccccc12,AB39_275151_286063_801571,43,No
Cn1cc(NCc2ccc(F)c(Cl)c2)nn1,AB72_239599_241084,2,No
Cn1nnc2ccc(-c3cnc(-n4ccnc4)nc3)cc21,AB170_985366_987408,31,No
Cc1noc2ncc(C=NNc3cccc(Br)c3)cc12,AB3_1481386_1484525,23,Yes
Cn1cc2ccc(-c3cccc(-n4nnnc4CN)c3)cc2n1,AB170_985455_989315,49,No
CSc1ccc(-c2ccc(-n3cnnn3)c(C)c2)cc1,AB170_985299_990334,1,No
Cc1cc(-c2cccc(-n3cnnn3)c2)c(C)cn1,AB170_985764_987718,1,No
CCCC(C)n1cc(-c2ccc3cccnc3c2)nn1,AB231_1298324_1301689_281144,19,No
Cc1cc(NC(=O)CCn2cccn2)cnn1,AB25_262120_265627,4,No
Cn1nnc2ccc(-c3cnc(-c4ncco4)nc3)cc21,AB170_985366_988243,31,No
Brc1cc(CNc2cccc(-n3cnnn3)c2)ccn1,AB146_798492_808758,24,No
Cc1cc(NC(=O)c2cc(C#N)ccc2Cl)cnn1,AB22_10992_17518_1639227,3,No
O=C(Cn1ccnn1)c1cccc(Cl)c1,AB7_1720883_1721554,30,No
Cc1cnc2c(NCc3ccc(Cl)cc3)cnn2c1,AB71_235847_236463,13,No
Cc1cnnc(NC(=O)c2cc(-n3cccn3)ccn2)c1,AB22_11277_15622_1254248,36,No
CN(C)S(=O)(=O)c1cccc(-c2cccc(-n3cnnn3)c2)c1,AB170_985764_992068,1,No
Clc1c[nH]c2ccc(-c3cccc(-n4cnnn4)c3)cc12,AB170_985764_988237,1,No
CCCn1cc(C(=O)C=Cc2cnnn2C)nn1,AB4_1696812_1697642,21,No
Cn1cc(-c2ccc(CNc3ccn(C)n3)cc2)cn1,AB72_239022_241255,13,No
Cc1cnc(CNCc2ncnn2C)cn1,AB146_805270_807859,13,No
Cc1ccc(-n2cc(C)cn2)c(NCc2ccccc2)c1,AB146_798762_806245,13,No
Cn1nnc2ccc(-c3ccc4occc4c3)cc21,AB170_985366_991944,31,No
N#CCc1cc(Cl)cc(-c2cccc(-n3cnnn3)c2)c1,AB170_985764_988836,1,No
CCCCN(C)NC(=O)Cn1ncnn1,AB97_1692676_1705149_723780,34,No
CCn1cc(CNCc2cnn(C)c2C)nn1,AB160_815990_819989_1612541,22,No
Cn1cc(C(=O)Nc2cc(-c3cccnc3)nn2C)nn1,AB39_275503_284629_1032781,43,No
Cc1n[nH]c2ncc(C=NNc3cccc(Cl)c3)cc12,AB3_1481393_1483292,23,No
Cc1noc(-c2cccc(NCc3nnn(C)n3)c2)n1,AB146_798919_807620,48,No
Cc1cc(CNc2cn(-c3ccccc3)nn2)nn1C,AB72_239909_241397,48,No
Cc1cnc(-c2cccc(-n3cnnn3)c2)c(O)c1,AB170_985764_989157,1,No
Cn1nncc1CNc1ccc(-c2ccnn2C)nn1,AB42_774667_781067,14,Yes
CCc1nc(CNc2nncn2C)cs1,AB72_239594_240729,48,No
Cc1cnnc(NC(=O)c2cccc(Cl)c2Cl)c1,AB22_11277_11956_1677725,36,No
CCCn1cc(CNc2cn(CC)nn2)nn1,AB72_239925_241600,22,Yes
CCc1nncn1N=Cc1cnc2ccc(Br)cn12,AB1_1471692_1473109,8,No
Cc1nc(C=Nn2cnnc2C)cs1,AB1_1471686_1472339,8,No
CCc1nnc2ccc(NCc3ccn(C)n3)nn12,AB42_773449_780261,48,No
Cn1cc2cc(-c3cccc(-n4nnnc4CN)c3)ccc2n1,AB170_985456_989315,49,Yes
COc1ccc(-c2cccc(-n3cnnn3)c2)c(OC)c1,AB170_985764_986304,1,No
Oc1cccc(CNc2cccc(-n3cnnn3)c2)c1,AB146_798492_806278,24,No
Cn1nnnc1-c1ccc(NC(=O)Cc2cccc(I)c2)cc1,AB28_320711_327467,32,No
Cc1cncc(C(=O)Nc2cccc(-n3nnnc3C)c2)c1,AB25_257704_268688,9,No
Cc1cc(CNCCCc2nnnn2C)nn1C,AB160_816614_820838_275045,48,No
Brc1cc(CNCCc2nnnn2-c2ccccc2)cc2ccccc12,AB146_802250_808965,37,Yes
Cc1cc(CNCc2nncn2-c2ccccc2)n(C)n1,AB71_231176_237668,48,No
CCCn1cc(C(=O)C=Cc2cnn(C)c2)nn1,AB4_1696812_1697381,21,No
CC(C)n1ccc(-c2ccc3nonc3c2)n1,AB170_985415_987267,31,No
Cn1cc(C(=O)Nc2nc(-c3ccccc3)nn2C)nn1,AB104_1768899_1774488_1185715,43,No
Cn1cnc(-c2ccc3nn(C)cc3c2)n1,AB170_985456_986234,15,No
Brc1ccn2cc(CNCc3ccccc3)nc2c1,AB160_812323_820678_1220636,7,No
Cn1nnc2ccc(C(=O)NCCCCC#N)cc21,AB97_1696208_1702000_1743697,5,No
COc1ccc(O)c(C=Nn2cnnc2C)c1,AB1_1471686_1471887,8,No
Cn1nnnc1CCCNCc1ncnn1-c1ccccc1,AB146_803600_809154,26,No
c1ccc(CNCc2cn(Cc3nnnn3Cc3ccccc3)nn2)cc1,AB217_1285065_1288030,22,No
Cc1noc2ncc(C(=O)NNC(=O)NCc3cnnn3C)cc12,AB112_929185_936762,5,No
Cc1nn(C)c2ncc(-c3cccc(-n4cccn4)c3)cc12,AB170_985762_986959,25,No
O=C(Cc1ccc(Cl)c(Br)c1)Nc1ccc(-n2cnnn2)cc1,AB28_319883_337116,20,No
O=C(Nc1ccc(-n2cnnn2)cc1)c1ccc(Br)c(F)c1,AB83_1584817_1600238,42,No
CCCCn1cc(NCc2cc(C)n(C)n2)nn1,AB72_240090_241397,48,No
Cc1cc(-c2cc(-c3ccccc3)ccn2)n(C)n1,AB170_985444_986466,7,No
CCn1cc(CNc2cc(-c3ccccc3)cnn2)nn1,AB42_775449_781632,22,No
Cn1nnnc1CNC(=O)c1ccon1,AB83_1596784_1599899,5,No
Cn1cc2ccc(-c3ncnn3C)cc2n1,AB170_985455_986235,15,No
c1ccc(-c2cccc(-c3cccc(-n4cnnn4)c3)n2)nc1,AB170_985764_991509,1,No
Cc1cc(CNc2cn(C(C)C)nn2)n(C)n1,AB72_239924_241404,40,Yes
Cc1cccc(NN=Cc2cnc3[nH]nc(C)c3c2)c1,AB3_1481392_1483292,23,No
CCn1cc(CNCc2cn(C)nc2C)nn1,AB160_815990_819970_125782,22,No
Cc1cc(NC(=O)c2cc(Cl)cc(Cl)c2I)ncn1,AB22_7723_12445_697640,36,No
c1cc(CNCc2cccc(-n3ccnn3)c2)cc(-c2nnn[nH]2)c1,AB146_805653_808709,0,No
Cc1cc(CNCc2cn(C(C)(C)C)nn2)nn1C,AB160_818473_820838_1013752,48,No
Cc1cc(CNc2nnnn2-c2ccccc2)ccc1I,AB42_774395_779904,7,No
COCn1cnc(-c2ccc3nonc3c2)n1,AB170_985415_989059,31,No
Cn1cc(-c2nc(Cn3ccnn3)cs2)cn1,AB48_1457958_1460320,44,No
Cn1cc(CNC(=O)c2ccc3c(c2)ncn3C)nn1,AB83_1591825_1602121,5,No
OCCn1cc(-c2cccc(NCc3ccco3)c2)nn1,AB231_1296858_1301037_866824,19,No
Cn1cc(-c2ccc(CNc3ccc4nccn4n3)cc2)cn1,AB42_777545_781712,13,No
c1cc(-c2ccc3ccncc3c2)cc(-n2cnnn2)c1,AB170_985764_988272,1,No
OCCn1cnc(-c2ccc3nonc3c2)n1,AB170_985415_987985,31,No
Cn1cnc(-c2cccc(NCc3ccccc3)c2)n1,AB72_239743_240258,17,Yes
C=Cn1cc(C=Nn2cnnc2C)cn1,AB1_1471686_1474032,8,No
Cc1ccc(C)c(C=Nn2cnnc2C)c1,AB1_1471686_1471934,8,Yes
Brc1cn(CCNc2cc(-c3ccccc3)cnn2)nn1,AB42_778787_781632,12,No
N#Cc1cc(-c2cccc(-n3nnnc3CN)c2)ccc1F,AB170_986046_989315,49,No
COC(=O)c1cc(C(=O)Nc2ccc(-c3nnnn3C)cc2)ccn1,AB28_320711_327236,32,No
CCc1nc(CNCc2nncn2C)cs1,AB71_231173_236936,48,No
CCCn1cc(C=NNc2cnnc3ccccc23)nn1,AB3_1481418_1484555,35,No
CCCC(C)n1cc(-c2ccc3cnccc3c2)nn1,AB231_1298324_1301284_54128,19,No
CSc1ccc(CNc2cnn(C)c2)cc1,AB72_238962_240307,13,No
Cc1ccc(CNc2cccc(-c3nnc[nH]3)c2)cc1,AB147_811974_816367,7,No
Cn1cc(-c2cc(Cn3ccnn3)on2)cn1,AB7_1720883_1723434,30,No
Brc1cc(CNc2ccc(-n3ccnn3)cc2)ccn1,AB72_239141_242002,0,No
Cn1nnnc1-c1ccc(NC(=O)Cc2ccc(C(N)=O)cc2)cc1,AB28_320711_329104,32,No
Cc1cc(NC(=O)c2ccc3oc(C)nc3c2)cnn1,AB25_262120_271122,3,No
COc1ccc(CC(=O)NCc2nnnn2C)cn1,AB30_369646_387402,5,No
Cn1cnnc1NCc1cccc(Br)n1,AB72_239594_242088,48,No
Cc1ccc(NC(=O)c2cnn(C)c2C)cc1-n1cnnn1,AB25_257612_265272,42,No
Cc1cc(-c2ccc(-n3cccn3)cc2)ccc1-n1cnnn1,AB170_985763_990334,1,No
CCn1cc(NCc2ccc(SC)cc2)nn1,AB72_239925_240307,2,No
Cc1noc2ncc(CNCC3(O)COC3)cc12,AB162_833537_835007_842240,13,No
Cn1cc(CCNCc2cn3ccc(Br)cc3n2)nn1,AB160_815823_820678_1231375,22,No
CC(CC(=O)Nc1cccc(-c2nnn(C)n2)c1)C1CC1,AB28_320487_325266,16,Yes
Cc1ccc(CNc2ccc3nccn3n2)cc1C#N,AB42_776275_781712,13,No
Cn1nnc2ccc(-c3cnc4cccnc4c3)cc21,AB170_985366_987376,31,No
Cc1cc(CNCc2cnnn2C)nn1C,AB71_233558_237661,48,No
Cn1nnc2ccc(-c3nnc(-c4ccccc4)o3)cc21,AB170_985366_991374,31,No
Cc1cnnc(NC(=O)c2cccc(Cn3cccn3)c2)c1,AB22_11277_18405_149655,45,Yes
FC(F)(F)Cn1cc(CNc2ccc3nnnn3n2)cn1,AB42_773126_780050,13,No
Cc1ccc(CNCc2nncn2C)c(Br)c1,AB71_231173_237287,48,No
COc1cc2ccccc2cc1CNCc1nnnn1-c1ccccc1,AB146_800308_807730,37,No
Cn1nnc2ccc(-c3ccsc3)cc21,AB170_985366_986284,31,No
Cc1ccc(C(=O)Nc2ccc(-n3cnnn3)cc2)cc1Cl,AB13_18274_26081,42,No
Cn1nnc2ccc(-c3ccn(C(F)F)n3)cc21,AB170_985366_988323,31,No
S=C(NCCc1nnnn1-c1ccccc1)Nc1ccc2ccccc2c1,AB10_1742855_1750542,37,No
Cn1cc(CCNc2ccc3nncn3n2)nn1,AB42_775212_780045,22,No
O=C(Cc1ccon1)NCc1nnn[nH]1,AB25_259755_268381,5,No
Cc1cnc(-c2cccc(-n3cccn3)c2)cc1C,AB170_985762_989252,18,Yes
Clc1ccc(CNc2cccc(-n3cnnn3)c2)cc1Br,AB146_798492_807069,24,No
CCn1cc(Cl)c(C=NNc2cccnn2)n1,AB11_1570701_1574957_1492472,35,No
Cc1cc(NC(=O)c2cc(-n3cccc3)ccn2)cnn1,AB22_10992_17569_901776,4,No
Cc1ccc(-c2ccc(OCc3cn(-c4ccccc4)nn3)cc2)cc1,AB47_1454684_1455817,7,No
Cc1ccc(NCc2cnc(Cl)c(C)c2)cc1-n1cnnn1,AB146_798888_806873,24,No
Cn1nncc1NCc1ccc(F)c(Br)c1,AB72_240167_240406,13,No
Clc1cc(Br)cc(CNc2cnn3ccccc23)c1,AB71_235868_238024,13,No
Cc1cnnc(NC(=O)Cc2ccc(-n3cnnn3)cc2)c1,AB22_11277_13989_1005440,36,No
Cn1cnc(CCCNCc2ccon2)n1,AB146_802811_807661,48,No
Cc1nc2cc(-c3cccc(-n4cccn4)c3)cnc2n1C,AB170_985762_986960,25,No
Cn1cnc(-c2ccc(NCc3cccc(O)c3)cc2)n1,AB71_233150_236498,17,No
Cc1cc(CNCc2ncnn2C)ccn1,AB146_802559_807859,13,No
O=C(NCCCSc1ccccc1)NCc1nnnn1-c1cccc(Br)c1,AB112_932059_932831,33,No
Cn1nnnc1CNC(=O)c1ccc(-n2cccn2)cc1,AB83_1596784_1598062,5,No
Cc1ccc(C(=O)NCc2nnnn2-c2cccc(Br)c2)c(F)c1,AB30_369238_377251,33,Yes
Cc1cc(-c2cccc(-n3cnnn3)c2)ccc1-n1cnnn1,AB170_985764_990334,1,No
Cn1nnnc1-c1ccc(NC(=O)c2ccc(Br)c(Cl)c2F)cc1,AB12_5831_13384,32,No
CC(=O)Nc1cccc(NC(=O)c2cn(C)nn2)c1,AB42_333513_342862_1349513,43,Yes
Cn1cc(NCc2ccc(-c3cnn(C)c3)cc2)cn1,AB72_238962_241255,13,Yes
Cc1nncn1N=Cc1cn(C)nc1-c1ccncc1,AB1_1471686_1472727,8,No
N#Cc1cccc(COC(=O)c2cn(-c3ccccc3)nn2)c1,AB228_1314692_1318731,7,No
Cn1ccc(C(=O)NS(=O)(=O)c2ccc3c(c2)nnn3C)n1,AB119_1251969_1257914,5,No
COc1cncc(CNCc2ccccc2)c1,AB160_812323_820963_1758538,13,No
C#Cc1cncc(C(=O)Nc2cnnc(C)c2)c1,AB22_10992_17359_395699,3,No
Cn1nnc2c(CNc3cncc(-c4ccccc4)c3)cccc21,AB163_916701_918522,39,No
Clc1cccc(Cl)c1CNc1cccc(-n2cnnn2)c1,AB146_798492_806285,24,No
CSc1ccc(C(C)NCc2nncn2C)cc1,AB137_696092_701795,48,No
Cc1cc(C(=O)NCc2nnnn2-c2ccccc2)c(C)cn1,AB30_358623_383407,26,No
Oc1ccc(Cl)c(-c2cccc(-n3cnnn3)c2)c1,AB170_985764_987470,1,No
COc1ccc(NC(=O)NCc2nnnn2-c2ccccc2)c2ccccc12,AB108_632644_643291,26,No
CCc1nnc(SCc2ccc(OC)c(C)c2)[nH]1,AB15_1807627_1811642_194493,7,No
CCc1ccccc1C(=O)NCc1nnnn1C,AB83_1596784_1601981,5,Yes
c1cc(NCc2ccco2)cc(-c2cn(CCn3cccn3)nn2)c1,AB231_1296830_1301037_866824,19,No
c1cc(CNCc2ccc3nonc3c2)cnn1,AB146_803596_809348,13,No
Clc1cncc(CNc2cccc(-n3cnnn3)c2)c1Cl,AB146_798492_808307,24,No
Cc1cnnc(NC(=O)c2ccnc(-n3cccc3)c2)c1,AB22_11277_18652_1680054,36,No
Cc1csc2ccc(-c3cccc(-n4cccn4)c3)cc12,AB170_985762_986929,25,No
CCn1cc(C(=O)C=Cc2c(-c3ccccc3)nnn2C)cn1,AB4_1696319_1698585,7,No
O=C(NCc1cccc2ccccc12)Nc1cnnn1-c1ccccc1,AB108_632476_636987,26,No
Cc1cc(NC(=O)c2cn(CC(N)=O)nn2)cnn1,AB25_262120_268686,4,No
CCCn1cc(C=NNc2ccnc(C)c2)nn1,AB3_1481480_1484555,35,No
COC(=O)c1ccc(-c2cccc(-n3cnnn3)c2)c(OC)c1,AB170_985764_988370,1,No
CSCC(=O)NCCn1ccnn1,AB30_363983_371994,30,No
Cc1cccc2c(CNCc3cn(C)nn3)c[nH]c12,AB160_815877_822517_578239,22,No
Cc1nc(CNCc2cnn(C)c2)cs1,AB71_231497_236749,13,No
O=C(Nc1cccc(-n2cnnn2)c1)c1ccc(Cl)c(Br)c1,AB25_257322_269589,24,No
CCc1nnc(SCc2cccc(N)c2)[nH]1,AB15_1807627_1811652_1410586,7,No
Oc1ccc(Cl)c(CNc2cccc(-n3cnnn3)c2)c1,AB146_798492_809608,24,No
O=C(NCc1ccc(CC2CC2)cc1)NCc1nnnn1-c1ccccc1,AB80_1556321_1563358,26,No
Cc1nc(C=Nn2cnnc2C)sc1C,AB1_1471686_1475212,8,No
c1ccc(-c2ccc(-c3ccc(-n4cnnn4)cc3)cc2)cc1,AB170_985668_986347,1,No
Cc1nn(C)cc1CNc1cnnn1C,AB72_240167_241083,48,No
Cc1cc(CNc2ccn(C)n2)n(C)n1,AB72_239022_241404,48,No
COc1ccc(C(C)=O)cc1-c1cccc(-n2cnnn2)c1,AB170_985764_991963,1,No
CN(Cc1cn(-c2ccccc2)nn1)Cc1nncn1C,AB101_524874_528512,7,No
Cc1cnn(-c2cccc(-c3cncc(CO)c3)c2)c1,AB170_985769_989175,25,No
